Employee_ID,Name,Highest_Degree,Skill,Work_Experience,Experience,Role,Certifications,Location
E846,kenneth castillo,Ph.D.,"['css', 'react', 'html', 'java']",15,Senior-level,DevOps Engineer,"['Advanced CSS', 'React Native Development', 'React Certification']",new valerietown
E2507,erin berry,Bachelor,['css'],1,Entry-level,UI/UX Designer,"['CSS Certification', 'Advanced CSS']",east jennifer
E7871,randy rodriguez,Bachelor,"['html', 'python']",15,Senior-level,Web Developer,"['HTML Certification', 'Advanced Python', 'Web Design Fundamentals']",lake stephenburgh
E4014,mark santiago,Master,['html'],10,Senior-level,Data Scientist,"['HTML Certification', 'Web Design Fundamentals']",north shawnport
E3234,dorothy villanueva,Bachelor,"['java', 'python']",6,Mid-level,UI/UX Designer,"['Python Certification', 'Java EE', 'Java Certification']",lake david
E6934,chelsea thompson,Bachelor,"['javascript', 'css', 'python', 'java', 'html', 'react']",13,Senior-level,Web Developer,"['Python Certification', 'CSS Certification', 'Java EE']",port christopher
E3259,joshua cervantes,Ph.D.,"['react', 'javascript', 'java', 'python', 'css', 'html']",3,Entry-level,DevOps Engineer,"['HTML Certification', 'React Certification', 'Python Certification']",garrettside
E6171,mr. christopher bradley,Ph.D.,"['javascript', 'html']",8,Mid-level,UI/UX Designer,"['JavaScript Certification', 'Web Design Fundamentals', 'React Certification']",myersmouth
E7527,brian wise,Master,"['java', 'css', 'python']",5,Mid-level,Software Engineer,"['Java Certification', 'Advanced Python', 'Python Certification']",coopermouth
E7831,lauren murphy,Master,"['css', 'java', 'html']",11,Senior-level,UI/UX Designer,"['Java Certification', 'CSS Certification', 'Java EE']",port christophertown
E9606,benjamin koch,Master,['java'],15,Senior-level,Web Developer,"['Java EE', 'Java Certification']",ballstad
E4324,timothy smith,Master,"['css', 'java', 'javascript', 'react', 'html']",7,Mid-level,Web Developer,"['HTML Certification', 'React Certification', 'React Native Development']",new justin
E672,ashley sweeney,Bachelor,"['css', 'java']",15,Senior-level,Web Developer,"['Java EE', 'CSS Certification', 'Java Certification']",north sharon
E7974,eric matthews,Ph.D.,"['react', 'html']",10,Senior-level,Product Manager,"['React Native Development', 'HTML Certification', 'Web Design Fundamentals']",kevintown
E6239,logan graves,Bachelor,"['css', 'html', 'react', 'python', 'javascript', 'java']",6,Mid-level,Product Manager,"['HTML Certification', 'React Certification', 'Advanced Python']",donaldsonfurt
E1160,sylvia taylor,Master,"['html', 'react', 'python', 'java', 'css']",14,Senior-level,DevOps Engineer,"['React Certification', 'Python Certification', 'Advanced Python']",contrerasborough
E9006,margaret thomas,Bachelor,"['python', 'html', 'java', 'react', 'css']",4,Entry-level,Data Scientist,"['Java Certification', 'Advanced Python', 'React Certification']",mooreport
E1593,edwin ford,Bachelor,"['html', 'python']",7,Mid-level,Data Scientist,"['Advanced Python', 'Python Certification', 'Web Design Fundamentals']",south curtis
E5448,nicholas cruz,Bachelor,"['python', 'css', 'react', 'java', 'javascript', 'html']",7,Mid-level,Software Engineer,"['React Native Development', 'Python Certification', 'Advanced Python']",rodgersfort
E4518,lisa ray,Ph.D.,"['css', 'javascript', 'html']",13,Senior-level,Product Manager,"['Web Design Fundamentals', 'React Certification', 'JavaScript Certification']",nguyenview
E9415,colleen nguyen,Master,['css'],7,Mid-level,Software Engineer,"['Advanced CSS', 'CSS Certification']",willisside
E5419,david ferguson,Master,"['css', 'java', 'html', 'javascript']",8,Mid-level,UI/UX Designer,"['JavaScript Certification', 'Advanced CSS', 'React Certification']",snyderhaven
E6649,michael hill,Master,"['css', 'python', 'html', 'react']",5,Mid-level,Software Engineer,"['Python Certification', 'Advanced CSS', 'CSS Certification']",east jason
E2573,jesus liu,Bachelor,['css'],15,Senior-level,UI/UX Designer,"['CSS Certification', 'Advanced CSS']",boylemouth
E7752,larry hendricks,Master,"['javascript', 'react']",5,Mid-level,Software Engineer,"['React Certification', 'JavaScript Certification', 'React Certification']",porterton
E2382,dr. elizabeth walker,Master,"['python', 'html', 'java', 'css', 'javascript']",8,Mid-level,UI/UX Designer,"['Web Design Fundamentals', 'Java Certification', 'HTML Certification']",port pamelaview
E2867,michael gray,Bachelor,"['java', 'react', 'css']",2,Entry-level,Data Scientist,"['React Native Development', 'Advanced CSS', 'Java Certification']",duranstad
E7523,matthew kelly,Master,"['javascript', 'html', 'java', 'react']",1,Entry-level,UI/UX Designer,"['Java Certification', 'HTML Certification', 'JavaScript Certification']",south brianna
E6640,andrew johnston,Bachelor,"['css', 'java', 'python']",15,Senior-level,Software Engineer,"['Advanced CSS', 'Java EE', 'Python Certification']",port benjaminville
E1144,matthew torres,Ph.D.,"['react', 'html', 'java', 'python']",11,Senior-level,Software Engineer,"['Java Certification', 'Python Certification', 'Web Design Fundamentals']",east roberttown
E8543,anthony dillon,Ph.D.,"['react', 'python', 'html']",3,Entry-level,Software Engineer,"['Web Design Fundamentals', 'Python Certification', 'React Native Development']",east erica
E2529,dawn harvey,Bachelor,"['react', 'python', 'javascript']",15,Senior-level,DevOps Engineer,"['Python Certification', 'Advanced Python', 'React Native Development']",north louis
E5052,susan rivera,Ph.D.,['css'],1,Entry-level,Data Scientist,"['Advanced CSS', 'CSS Certification']",east kent
E6652,lisa ingram,Ph.D.,"['react', 'python', 'java', 'javascript', 'css']",8,Mid-level,Software Engineer,"['Java Certification', 'Python Certification', 'JavaScript Certification']",boothbury
E5469,ryan munoz,Ph.D.,"['html', 'react', 'python']",7,Mid-level,Product Manager,"['React Certification', 'Web Design Fundamentals', 'Advanced Python']",south kristen
E8048,grant freeman,Master,['java'],14,Senior-level,Software Engineer,"['Java EE', 'Java Certification']",williamtown
E7237,michelle lucas,Bachelor,"['react', 'css']",3,Entry-level,Data Scientist,"['CSS Certification', 'React Native Development', 'Advanced CSS']",timothyton
E9208,susan morris,Bachelor,"['html', 'react', 'css', 'python']",15,Senior-level,Product Manager,"['CSS Certification', 'Web Design Fundamentals', 'React Native Development']",michelleville
E2402,lauren garcia,Bachelor,"['css', 'java', 'python', 'html', 'react']",10,Senior-level,DevOps Engineer,"['Java EE', 'Java Certification', 'Advanced CSS']",delgadomouth
E3065,david camacho,Ph.D.,"['react', 'python', 'html', 'css', 'javascript']",6,Mid-level,Data Scientist,"['Web Design Fundamentals', 'Advanced CSS', 'React Native Development']",grayview
E7867,edward smith,Master,['javascript'],2,Entry-level,Data Scientist,"['React Certification', 'JavaScript Certification']",east katie
E4227,patrick jensen,Ph.D.,"['react', 'html', 'java', 'python', 'javascript', 'css']",8,Mid-level,UI/UX Designer,"['HTML Certification', 'JavaScript Certification', 'React Native Development']",east josephtown
E4551,larry potter,Ph.D.,"['css', 'java', 'javascript', 'python', 'html']",12,Senior-level,DevOps Engineer,"['JavaScript Certification', 'CSS Certification', 'Java EE']",north sarabury
E13,colin alvarado,Bachelor,"['java', 'css', 'javascript', 'html', 'python', 'react']",6,Mid-level,Web Developer,"['React Certification', 'Web Design Fundamentals', 'Python Certification']",lake ericfurt
E3977,gail hernandez,Master,"['python', 'javascript']",4,Entry-level,Web Developer,"['Advanced Python', 'React Certification', 'Python Certification']",north timothy
E7453,mary johnson,Master,"['python', 'html', 'css', 'java', 'react', 'javascript']",12,Senior-level,Software Engineer,"['JavaScript Certification', 'Java Certification', 'HTML Certification']",littlebury
E6580,tamara wilson,Ph.D.,"['react', 'css', 'python', 'html', 'java']",3,Entry-level,Software Engineer,"['React Native Development', 'Web Design Fundamentals', 'Advanced CSS']",bryantberg
E8128,philip gonzalez,Bachelor,"['html', 'css', 'java', 'javascript', 'react']",9,Mid-level,Software Engineer,"['Java Certification', 'React Certification', 'React Certification']",new jason
E9725,matthew dudley,Master,"['python', 'html', 'java']",1,Entry-level,UI/UX Designer,"['Web Design Fundamentals', 'Java EE', 'HTML Certification']",nelsonport
E2529,jeremy montgomery,Ph.D.,['react'],15,Senior-level,Web Developer,"['React Native Development', 'React Certification']",griffinhaven
E1137,joshua hernandez,Master,"['python', 'css', 'javascript', 'html', 'java', 'react']",15,Senior-level,Software Engineer,"['Web Design Fundamentals', 'React Certification', 'Advanced Python']",west cynthiatown
E5858,william bolton,Master,"['react', 'css', 'html', 'python']",9,Mid-level,Data Scientist,"['React Certification', 'Python Certification', 'React Native Development']",lake jared
E6339,tammy saunders,Ph.D.,"['java', 'css', 'javascript']",4,Entry-level,DevOps Engineer,"['Java Certification', 'Java EE', 'CSS Certification']",donaldland
E7218,kristen morales,Master,"['css', 'react', 'java']",5,Mid-level,Data Scientist,"['Advanced CSS', 'CSS Certification', 'React Native Development']",adkinsstad
E3452,russell shea,Ph.D.,"['javascript', 'html', 'python', 'react', 'css']",8,Mid-level,DevOps Engineer,"['HTML Certification', 'CSS Certification', 'Advanced CSS']",north leonardfort
E7540,jimmy crawford,Bachelor,"['react', 'python', 'html', 'javascript', 'css', 'java']",2,Entry-level,Software Engineer,"['Web Design Fundamentals', 'HTML Certification', 'Java EE']",south rebecca
E7568,bethany jones,Master,['python'],7,Mid-level,Software Engineer,"['Python Certification', 'Advanced Python']",new michael
E564,michael james,Ph.D.,"['javascript', 'java', 'css', 'html']",11,Senior-level,Software Engineer,"['React Certification', 'Java Certification', 'CSS Certification']",lindsayland
E5207,brandon butler,Master,['html'],7,Mid-level,Web Developer,"['Web Design Fundamentals', 'HTML Certification']",lucasland
E5201,walter moore,Master,"['html', 'python', 'react', 'java', 'javascript', 'css']",12,Senior-level,Web Developer,"['CSS Certification', 'Python Certification', 'Java Certification']",port stacyside
E7814,jennifer parker,Bachelor,['css'],10,Senior-level,DevOps Engineer,"['CSS Certification', 'Advanced CSS']",ruthfurt
E9266,amanda keith,Master,"['react', 'html', 'javascript', 'css', 'java']",9,Mid-level,Web Developer,"['Java EE', 'CSS Certification', 'HTML Certification']",port christinetown
E3203,mary smith,Bachelor,"['react', 'javascript', 'html', 'python']",11,Senior-level,DevOps Engineer,"['React Certification', 'React Certification', 'HTML Certification']",east richardshire
E6346,melinda sosa,Ph.D.,['javascript'],12,Senior-level,Product Manager,"['JavaScript Certification', 'React Certification']",south michael
E2502,tracey green,Master,"['html', 'css']",11,Senior-level,Software Engineer,"['CSS Certification', 'Web Design Fundamentals', 'Advanced CSS']",shieldsmouth
E9234,emily johns,Bachelor,"['html', 'java', 'react', 'python', 'javascript', 'css']",9,Mid-level,Software Engineer,"['React Native Development', 'React Certification', 'Java Certification']",davidbury
E9779,danielle white,Master,"['javascript', 'python', 'react', 'java']",1,Entry-level,Data Scientist,"['React Native Development', 'React Certification', 'Python Certification']",east whitneyside
E3077,gina hudson,Bachelor,"['html', 'javascript', 'java', 'css', 'python']",6,Mid-level,Web Developer,"['Web Design Fundamentals', 'Java EE', 'Java Certification']",new stephenfurt
E2718,bradley smith,Ph.D.,"['java', 'python', 'react']",14,Senior-level,Data Scientist,"['Java EE', 'Advanced Python', 'Python Certification']",rodriguezport
E5919,crystal gray,Ph.D.,"['python', 'javascript', 'html', 'react']",3,Entry-level,Web Developer,"['Advanced Python', 'React Certification', 'HTML Certification']",alyssaberg
E6985,brian wagner,Ph.D.,"['javascript', 'html', 'python']",1,Entry-level,UI/UX Designer,"['Advanced Python', 'Python Certification', 'HTML Certification']",new anthony
E8944,susan ruiz,Bachelor,"['javascript', 'react', 'python', 'html', 'css']",4,Entry-level,Software Engineer,"['Advanced CSS', 'Web Design Fundamentals', 'Python Certification']",new marvin
E6543,michael walker,Master,['html'],2,Entry-level,Data Scientist,"['HTML Certification', 'Web Design Fundamentals']",east jennaside
E7819,timothy ali,Master,"['python', 'react', 'javascript', 'java']",11,Senior-level,UI/UX Designer,"['JavaScript Certification', 'React Native Development', 'React Certification']",west charles
E2590,michael cisneros,Ph.D.,['react'],3,Entry-level,Software Engineer,"['React Native Development', 'React Certification']",juanland
E5577,adam bridges,Bachelor,"['html', 'react', 'css']",1,Entry-level,Product Manager,"['React Native Development', 'Advanced CSS', 'CSS Certification']",lake cheryl
E2320,katie sandoval,Master,['python'],15,Senior-level,UI/UX Designer,"['Advanced Python', 'Python Certification']",north julie
E8676,vincent jones,Ph.D.,['html'],12,Senior-level,Product Manager,"['HTML Certification', 'Web Design Fundamentals']",mcguireborough
E8636,jackie lopez,Master,['java'],7,Mid-level,DevOps Engineer,"['Java Certification', 'Java EE']",south kirkfurt
E4122,nathan white,Master,"['java', 'css']",12,Senior-level,Data Scientist,"['CSS Certification', 'Java EE', 'Java Certification']",east tammy
E4610,joseph mcpherson,Bachelor,"['javascript', 'java', 'css', 'python']",2,Entry-level,Product Manager,"['CSS Certification', 'Python Certification', 'React Certification']",ellismouth
E3707,william dudley,Ph.D.,"['css', 'python', 'java']",6,Mid-level,Software Engineer,"['Java Certification', 'Python Certification', 'Java EE']",east danielle
E1275,lindsey rodriguez,Bachelor,"['react', 'java', 'css', 'html', 'python']",1,Entry-level,Product Manager,"['Java Certification', 'React Native Development', 'Python Certification']",joneston
E8237,amanda stevens,Master,"['css', 'python', 'react', 'html', 'javascript']",10,Senior-level,UI/UX Designer,"['Python Certification', 'Web Design Fundamentals', 'React Certification']",chaseton
E171,john stevenson,Master,"['javascript', 'css', 'html', 'react', 'python', 'java']",4,Entry-level,Software Engineer,"['React Certification', 'JavaScript Certification', 'React Certification']",north shawnchester
E2917,michael garcia,Bachelor,"['html', 'javascript', 'css', 'python', 'react', 'java']",6,Mid-level,Product Manager,"['React Certification', 'Python Certification', 'React Native Development']",east jonathan
E6249,samantha weber,Bachelor,"['javascript', 'css', 'html', 'python']",9,Mid-level,Product Manager,"['React Certification', 'Web Design Fundamentals', 'Advanced Python']",south brandon
E1875,morgan decker,Ph.D.,"['html', 'css', 'javascript', 'java', 'react']",7,Mid-level,Data Scientist,"['React Certification', 'Advanced CSS', 'Web Design Fundamentals']",north alanside
E8698,valerie perry,Ph.D.,"['css', 'html', 'python', 'react', 'java', 'javascript']",1,Entry-level,DevOps Engineer,"['Advanced CSS', 'Web Design Fundamentals', 'React Certification']",kimberlyburgh
E4143,joseph porter,Master,"['react', 'python', 'html', 'javascript', 'java', 'css']",5,Mid-level,UI/UX Designer,"['Python Certification', 'React Certification', 'JavaScript Certification']",ramirezville
E4831,tammy thornton,Ph.D.,"['css', 'java', 'python', 'react', 'html', 'javascript']",2,Entry-level,Software Engineer,"['Advanced Python', 'React Certification', 'Advanced CSS']",west william
E2899,christopher stone,Bachelor,"['react', 'javascript', 'python', 'css']",5,Mid-level,Web Developer,"['JavaScript Certification', 'Advanced Python', 'CSS Certification']",tamaraport
E9338,rhonda christensen,Ph.D.,"['react', 'css']",10,Senior-level,Data Scientist,"['Advanced CSS', 'CSS Certification', 'React Native Development']",lake emily
E7197,mrs. donna brown,Master,"['python', 'javascript', 'css']",13,Senior-level,Data Scientist,"['React Certification', 'Advanced Python', 'Python Certification']",lake glenn
E7415,laura hutchinson,Bachelor,"['css', 'javascript', 'python', 'html', 'react']",1,Entry-level,UI/UX Designer,"['React Certification', 'HTML Certification', 'JavaScript Certification']",west richard
E4779,amanda obrien,Bachelor,['css'],12,Senior-level,DevOps Engineer,"['Advanced CSS', 'CSS Certification']",south sarahland
E6751,kathy zamora,Bachelor,['html'],6,Mid-level,UI/UX Designer,"['HTML Certification', 'Web Design Fundamentals']",michaelview
E1039,makayla baker,Master,['java'],15,Senior-level,DevOps Engineer,"['Java EE', 'Java Certification']",new linda
E9955,robert weaver,Ph.D.,['css'],2,Entry-level,Data Scientist,"['CSS Certification', 'Advanced CSS']",west robertborough
E9932,troy white,Bachelor,"['python', 'html']",14,Senior-level,Web Developer,"['Python Certification', 'Web Design Fundamentals', 'Advanced Python']",franklinstad
E5755,peggy black,Bachelor,"['python', 'java', 'html', 'css', 'react', 'javascript']",4,Entry-level,Web Developer,"['CSS Certification', 'Java EE', 'React Certification']",south sarahville
E5182,stephanie richmond,Ph.D.,"['react', 'html', 'css', 'java']",4,Entry-level,UI/UX Designer,"['HTML Certification', 'Web Design Fundamentals', 'Java EE']",lake tabitha
E9147,mark spencer,Master,"['java', 'python', 'javascript', 'react', 'css']",14,Senior-level,DevOps Engineer,"['React Native Development', 'CSS Certification', 'React Certification']",east shannontown
E680,miguel brown,Bachelor,"['html', 'react']",12,Senior-level,Product Manager,"['HTML Certification', 'React Certification', 'Web Design Fundamentals']",michaeltown
E22,dillon burke,Master,"['html', 'react', 'css', 'python']",4,Entry-level,Product Manager,"['React Native Development', 'React Certification', 'Advanced Python']",jeffreyfort
E6661,joseph johnston,Master,"['css', 'react', 'javascript', 'html', 'python']",1,Entry-level,Software Engineer,"['Web Design Fundamentals', 'JavaScript Certification', 'React Certification']",kingland
E1980,lisa diaz,Master,['java'],3,Entry-level,DevOps Engineer,"['Java Certification', 'Java EE']",sandraberg
E4493,valerie shaw,Master,"['python', 'java', 'javascript', 'html']",15,Senior-level,Product Manager,"['JavaScript Certification', 'Advanced Python', 'React Certification']",kelleyborough
E1066,elizabeth may,Bachelor,"['css', 'html', 'react', 'java']",1,Entry-level,DevOps Engineer,"['React Certification', 'Web Design Fundamentals', 'CSS Certification']",traceyport
E3363,aaron ross,Bachelor,"['python', 'css', 'javascript', 'html']",11,Senior-level,Data Scientist,"['Python Certification', 'Advanced CSS', 'JavaScript Certification']",west whitney
E4814,jeremiah knapp,Ph.D.,"['java', 'javascript']",1,Entry-level,Product Manager,"['Java EE', 'React Certification', 'Java Certification']",shawhaven
E1256,troy pope,Master,"['python', 'java']",15,Senior-level,DevOps Engineer,"['Advanced Python', 'Java EE', 'Java Certification']",port jennifer
E3811,joshua bradley,Bachelor,"['python', 'react', 'html', 'java']",9,Mid-level,DevOps Engineer,"['React Certification', 'Web Design Fundamentals', 'Java EE']",pamelaport
E3441,michael hernandez,Ph.D.,"['java', 'html', 'javascript', 'react', 'css', 'python']",15,Senior-level,DevOps Engineer,"['Web Design Fundamentals', 'Advanced CSS', 'Advanced Python']",new abigailview
E7395,tanya thomas,Bachelor,"['react', 'html', 'javascript', 'css', 'java', 'python']",7,Mid-level,Product Manager,"['HTML Certification', 'Java Certification', 'React Certification']",herringmouth
E7800,edward oconnor,Master,"['javascript', 'java', 'react', 'html']",9,Mid-level,Product Manager,"['HTML Certification', 'Java Certification', 'React Certification']",simmonsland
E2334,marcus burton,Ph.D.,"['javascript', 'css', 'html']",3,Entry-level,Product Manager,"['React Certification', 'Web Design Fundamentals', 'JavaScript Certification']",port gregory
E4342,jorge tapia,Bachelor,"['python', 'java', 'html', 'react', 'css', 'javascript']",3,Entry-level,Software Engineer,"['Advanced CSS', 'Web Design Fundamentals', 'Python Certification']",new heatherhaven
E3298,aaron walsh,Master,['html'],1,Entry-level,Software Engineer,"['Web Design Fundamentals', 'HTML Certification']",craigshire
E1089,makayla harrell,Bachelor,"['react', 'css', 'javascript', 'html', 'java']",14,Senior-level,DevOps Engineer,"['React Certification', 'CSS Certification', 'HTML Certification']",osborneland
E8803,dawn davidson,Ph.D.,"['python', 'javascript', 'html', 'java', 'react', 'css']",14,Senior-level,DevOps Engineer,"['HTML Certification', 'Advanced Python', 'React Certification']",herrerastad
E1185,james aguilar,Master,"['react', 'java', 'python', 'css']",12,Senior-level,UI/UX Designer,"['Java Certification', 'React Native Development', 'CSS Certification']",anthonyborough
E8418,anna richardson,Master,"['python', 'html', 'java', 'javascript', 'react', 'css']",3,Entry-level,UI/UX Designer,"['React Certification', 'Advanced CSS', 'React Native Development']",christophershire
E3861,elizabeth foley,Ph.D.,"['javascript', 'css']",14,Senior-level,Product Manager,"['Advanced CSS', 'CSS Certification', 'JavaScript Certification']",west jerry
E1970,melissa gonzalez,Master,"['html', 'css']",1,Entry-level,DevOps Engineer,"['HTML Certification', 'Web Design Fundamentals', 'CSS Certification']",sotoborough
E6684,rachel hale,Bachelor,"['java', 'python', 'react', 'css', 'html', 'javascript']",3,Entry-level,Data Scientist,"['Java Certification', 'Advanced CSS', 'CSS Certification']",west kennethport
